gamma_high,t_gamma_high,label,rupture_strain
3000,3.3,0,300
742,19,0,250
800,24.5,0,900
1156,27.6,0,300
2700,6.4,0,250
700,41.7,0,400
200,58.3,0,250
2279,7.5,0,250
2700,3,0,120
1428,14.2,1,283
1365,26.2,1,262
1392,31.7,1,297
1437,22.9,1,243
1401,25.1,1,258
1619,24,1,161
1623,10,1,102
1569,22.2,1,253
1491,13.8,1,207
1490,1.5,1,101
1903,13.4,1,375
1715,19.3,1,393
1206,15.5,1,148
1313,17.8,2,471
1841,41.37,2,808
1518,28,2,310
1745,30.8,2,569
1354,48.4,2,361
1633,28.3,2,338
1471,23,2,297
1267,66.6,2,517
1700,11.3,2,161
1560,19.1,2,263
1600,16.7,2,185
1350,27.8,2,670
1350,41,2,574
1340,66.6,2,670
1917,4.5,2,85
